plotID,plot,size,structure,species,n,k
32MR,32MR-10-01,4,TB-semai,Hata,4,0
32MR,32MR-10-01,4,TB-semai,Parasi,5,0
32MR,32MR-10-01,4,TB-semai,Papakuan,3,0
32MR,32MR-10-01,4,TB-semai,Sulangkar,4,0
32MR,32MR-10-01,4,TB-semai,Laban,5,0
32MR,32MR-10-01,4,TB-semai,Peuris,7,0
32MR,32MR-10-01,4,TB-semai,Ceuri,2,0
32MR,32MR-10-01,25,Pancang,Kanyere,2,0
32MR,32MR-10-01,25,Pancang,Ki pare,1,0
32MR,32MR-10-01,25,Pancang,Jejerukan,1,0
32MR,32MR-10-01,25,Pancang,Talingkup,1,0
32MR,32MR-10-01,25,Pancang,Tongtolok,1,0
32MR,32MR-10-01,25,Pancang,Waringin,1,0
32MR,32MR-10-01,100,Tiang,Ki jahe,1,34
32MR,32MR-10-01,100,Tiang,Hantap,1,31
32MR,32MR-10-01,100,Tiang,Ipis Kulit,1,32
32MR,32MR-10-01,400,Pohon,Pulus,1,109
32MR,32MR-10-01,400,Pohon,Hampelas,1,80
32MR,32MR-10-01,400,Pohon,Kenanga ,1,118
32MR,32MR-10-01,400,Pohon,Ki tiang,1,182
32MR,32MR-10-01,400,Pohon,Kenal,1,220
32MR,32MR-10-02,4,TB-semai,Cariang,12,0
32MR,32MR-10-02,4,TB-semai,Parasi,3,0
32MR,32MR-10-02,4,TB-semai,Hata,4,0
32MR,32MR-10-02,4,TB-semai,Tepus,2,0
32MR,32MR-10-02,4,TB-semai,Ki sampang,1,0
32MR,32MR-10-02,4,TB-semai,Laban,3,0
32MR,32MR-10-02,4,TB-semai,Ki caang,1,0
32MR,32MR-10-02,4,TB-semai,Ki pare,2,0
32MR,32MR-10-02,25,Pancang,Ki jahe,2,0
32MR,32MR-10-02,25,Pancang,Ki soro,1,0
32MR,32MR-10-02,25,Pancang,Pulat,1,0
32MR,32MR-10-02,25,Pancang,Kanyere,2,0
32MR,32MR-10-02,25,Pancang,Ki pare,2,0
32MR,32MR-10-02,25,Pancang,Songgom,2,0
32MR,32MR-10-02,100,Tiang,Kanyere,1,58
32MR,32MR-10-02,100,Tiang,Kanyere,1,52
32MR,32MR-10-02,100,Tiang,Kanyere,1,41
32MR,32MR-10-02,100,Tiang,Kanyere,1,36
32MR,32MR-10-02,400,Pohon,Padali,1,160
32MR,32MR-10-02,400,Pohon,Dahu,1,120
32MR,32MR-10-02,400,Pohon,Ki sereh,1,92
32MR,32MR-10-02,400,Pohon,Ki sampang,1,72
32MR,32MR-10-03,4,TB-semai,Ki jahe,3,0
32MR,32MR-10-03,4,TB-semai,Ki lilin,4,0
32MR,32MR-10-03,4,TB-semai,Sulangkar,5,0
32MR,32MR-10-03,4,TB-semai,Talingkup,1,0
32MR,32MR-10-03,4,TB-semai,Sayar,2,0
32MR,32MR-10-03,4,TB-semai,Bayur,1,0
32MR,32MR-10-03,25,Pancang,Padali,2,0
32MR,32MR-10-03,25,Pancang,Ki buluh,1,0
32MR,32MR-10-03,25,Pancang,Ki sampang,1,0
32MR,32MR-10-03,25,Pancang,Talingkup,1,0
32MR,32MR-10-03,100,Tiang,Padali,1,33
32MR,32MR-10-03,100,Tiang,Pulus,1,60
32MR,32MR-10-03,100,Tiang,Kanyere,1,39
32MR,32MR-10-03,100,Tiang,Pulus,1,31
32MR,32MR-10-03,100,Tiang,Ki sampang,1,55
32MR,32MR-10-03,400,Pohon,Padali,1,160
32MR,32MR-10-03,400,Pohon,Ki dangdeur,1,92
32MR,32MR-10-03,400,Pohon,Laban,1,144
32MR,32MR-10-03,400,Pohon,Kadongdong,1,300
32MR,32MR-10-03,400,Pohon,Kadongdong,1,120
32MR,32MR-10-03,400,Pohon,Hampelas,1,110
